add:north,PETG-CF,Black (Ridid-X),245-265,70
add:north,PETG PRO,Black (PRO Matte),225-260,80
add:north,PETG PRO,White (PRO Matte),225-260,80
add:north,E-PLA,Glitz Black,195-225,60
add:north,E-PLA,Glitz Stardust,195-225,60
add:north,PLA,Silver (Premium Silk),195-225,60
add:north,Nylon-CF,Black (Adura),245-270,60-75
add:north,PLA,Nordic Birch (Wood),200-230,60
add:north,Textura,Twilight Blue (Flare),205-220,65
add:north,TPU,Black (EasyFlex),230-220250,60
